id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.060980081558228,pred,22.2357919216156,True,1,True
17,46.139729022979736,pred,46.302692890167236,True,1,True
18,72.24202919006348,pred,72.39303612709045,True,1,True
19,100.3079891204834,pred,100.44719910621643,True,1,True
7,110.34544801712036,prey,84.26233386993408,True,29,True
20,128.40954208374023,pred,128.5370330810547,True,1,True
21,158.52302408218384,pred,158.63867092132568,True,1,True
22,190.63013219833374,pred,190.73404908180237,True,1,True
16,210.6883761882782,prey,78.26314115524292,False,26,True
24,222.71877121925354,pred,222.79925107955933,True,1,True
25,256.82528018951416,pred,256.8939070701599,True,1,True
18,256.82528018951416,prey,0.0,False,1,True
28,290.94259309768677,pred,290.97571897506714,True,1,True
15,290.94259309768677,prey,0.0,True,1,True
12,302.97660303115845,prey,162.52054500579834,True,16,False
23,323.053120136261,pred,323.1453719139099,True,1,True
27,357.1361970901489,pred,357.1810870170593,True,1,True
10,357.1361970901489,prey,0.0,True,1,True
29,391.24222922325134,pred,391.26363015174866,True,1,True
22,391.24222922325134,prey,0.0,True,1,True
26,425.3551552295685,pred,425.4118421077728,True,1,True
21,425.3551552295685,prey,102.3020350933075,False,1,True
13,445.4063880443573,prey,122.35326790809631,True,21,False
27,457.44762921333313,prey,100.30606198310852,True,7,False
18,457.44762921333313,pred,200.6104121208191,False,1,True
15,489.55762004852295,pred,198.60284900665283,False,1,True
16,523.6645720005035,pred,312.9678189754486,False,26,True
20,523.6645720005035,prey,379.1906487941742,True,1,True
23,541.7233672142029,prey,218.66466307640076,False,22,False
21,555.7519590854645,pred,130.3845648765564,False,1,True
13,589.8563342094421,pred,144.4414541721344,False,21,False
1,589.8563342094421,prey,0.0,True,1,True
8,621.972498178482,prey,60.18990397453308,True,23,False
10,621.972498178482,pred,264.8245601654053,False,1,False
5,623.9772531986237,prey,367.1519730091095,True,22,False
14,627.9966721534729,prey,138.43905210494995,True,23,False
7,652.0897450447083,pred,541.7358930110931,False,29,True
11,666.1427531242371,prey,640.0596389770508,True,27,True
20,682.2029821872711,pred,158.5265440940857,True,1,False
0,714.2800822257996,prey,224.7224621772766,True,5,False
8,714.2800822257996,pred,92.29889822006226,False,23,False
15,718.291718006134,prey,228.7285008430481,False,5,False
18,744.393089056015,prey,182.61049485206604,True,23,False
22,744.393089056015,pred,353.1389389038086,False,1,False
2,772.4864771366119,prey,672.1784880161285,True,1,False
14,772.4864771366119,pred,144.48121905326843,True,23,False
12,802.6004421710968,pred,499.61544013023376,False,16,False
27,834.6777720451355,pred,377.2216010093689,True,7,False
28,868.7712290287018,prey,377.20674300193787,False,23,False
11,868.7712290287018,pred,202.62004280090332,True,27,False
17,870.7734191417694,prey,776.4747540950775,False,23,False
0,900.8682751655579,pred,186.5797300338745,False,5,False
15,934.9733340740204,pred,216.67306184768677,False,5,False
6,934.9733340740204,prey,0.0,True,1,False
24,938.9820981025696,prey,577.8402619361877,True,17,True
5,967.093052148819,pred,343.1070251464844,False,22,True
13,969.0934040546417,prey,377.22908186912537,False,2,False
18,999.1962790489197,pred,254.79491901397705,False,23,False
1,1033.3089611530304,pred,443.44044303894043,False,1,False
18,1033.3089611530304,prey,0.0,True,23,False
28,1067.456451177597,pred,198.67681217193604,False,23,False
0,1067.456451177597,prey,132.48311710357666,False,5,False
15,1087.5305490493774,prey,152.55158495903015,False,0,True
6,1099.5790150165558,pred,164.5936758518219,False,1,False
21,1131.687049150467,prey,541.8307149410248,False,2,False
17,1131.687049150467,pred,260.905305147171,True,23,False
25,1135.707379102707,prey,878.8767039775848,False,2,False
3,1137.7102391719818,prey,1037.4022500514984,True,2,False
16,1153.759057044983,prey,188.6772918701172,False,23,False
24,1159.7886600494385,pred,220.79759001731873,False,17,False
13,1189.9027271270752,pred,220.8007071018219,True,2,False
18,1222.008786201477,pred,188.68792915344238,True,23,False
0,1256.0986671447754,pred,188.6292860507965,True,5,False
12,1256.0986671447754,prey,36.09151911735535,True,16,True
4,1282.1906161308289,prey,1175.8611290454865,True,25,False
21,1288.2118592262268,pred,156.51683020591736,True,2,False
22,1290.2208061218262,prey,355.2474720478058,True,23,False
15,1320.2951290607452,pred,232.756089925766,False,0,False
2,1354.423457145691,pred,581.9284081459045,False,1,False
18,1354.423457145691,prey,132.40921807289124,True,23,False
28,1356.434142112732,prey,170.55225896835327,False,22,True
3,1386.5069122314453,pred,248.7880871295929,False,2,False
17,1394.5320980548859,prey,172.5233118534088,False,16,True
12,1418.615884065628,pred,162.5052080154419,True,16,True
10,1420.6159851551056,prey,700.3109419345856,False,4,False
24,1430.6439311504364,prey,208.63514494895935,False,16,True
25,1448.6975531578064,pred,312.9814851284027,False,2,False
23,1480.7954862117767,pred,939.063404083252,False,22,True
18,1514.9026510715485,pred,160.46720099449158,False,23,True
6,1514.9026510715485,prey,415.31798791885376,False,1,False
29,1534.9618651866913,prey,1103.589063167572,True,6,False
22,1547.0031130313873,pred,256.7735769748688,True,23,True
1,1555.0241661071777,prey,383.18821907043457,False,29,False
7,1557.0352580547333,prey,756.4468479156494,False,29,False
11,1559.0413761138916,prey,690.2554199695587,False,29,False
19,1561.0450232028961,prey,1380.4508299827576,True,29,False
27,1563.0483820438385,prey,694.2771530151367,False,29,False
28,1571.0609982013702,pred,214.61836218833923,False,22,True
14,1575.0827360153198,prey,503.60786485671997,False,10,False
17,1595.1462399959564,pred,200.60474681854248,True,16,True
24,1621.2530431747437,pred,190.6004741191864,False,16,True
6,1649.3907270431519,pred,134.47636604309082,False,1,True
21,1651.3952980041504,prey,260.8709499835968,False,16,True
1,1677.4711201190948,pred,122.43770599365234,True,29,False
4,1707.565011024475,pred,425.3658938407898,False,25,False
13,1723.6120541095734,prey,501.6032679080963,False,16,True
7,1737.6585311889648,pred,180.61491417884827,False,29,False
11,1769.7603521347046,pred,210.7108519077301,False,29,False
29,1803.879494190216,pred,268.909460067749,False,6,False
9,1803.879494190216,prey,0.0,True,1,True
10,1837.9806082248688,pred,417.3565101623535,False,4,False
22,1837.9806082248688,prey,0.0,True,23,True
3,1868.0783920288086,prey,307.0333688259125,True,19,False
27,1870.0863440036774,pred,307.0299038887024,False,29,True
2,1900.1697490215302,prey,477.5420808792114,False,16,True
14,1902.1732242107391,pred,327.08258605003357,False,10,False
21,1936.2716281414032,pred,284.8679430484772,True,16,True
25,1936.2716281414032,prey,0.0,False,2,False
13,1970.3850572109222,pred,246.7625470161438,False,16,True
15,1970.3850572109222,prey,636.0409421920776,False,0,False
0,1990.4361970424652,prey,654.0797069072723,False,15,True
9,2002.470239162445,pred,198.57923698425293,True,1,True
19,2036.592199087143,pred,475.53907203674316,False,29,True
27,2036.592199087143,prey,44.14652895927429,False,29,True
3,2070.6767961978912,pred,202.59028816223145,True,19,True
10,2070.6767961978912,prey,70.21047902107239,False,4,False
20,2080.7098360061646,prey,1398.5012319087982,False,22,False
7,2090.7311642169952,prey,120.346107006073,False,10,False
2,2100.7625172138214,pred,200.58468008041382,False,16,True
13,2128.8520982265472,prey,74.21633410453796,True,16,True
25,2130.852782011032,pred,194.56958889961243,True,2,True
27,2162.9703710079193,pred,126.36653900146484,False,29,True
28,2197.0693140029907,prey,74.22957992553711,False,10,False
22,2197.0693140029907,pred,359.0770058631897,False,23,True
26,2213.12091422081,prey,1709.5208270549774,True,20,False
7,2229.1798820495605,pred,138.44054102897644,True,10,False
21,2231.1839101314545,prey,294.9068489074707,False,13,False
16,2261.2630050182343,pred,1107.4956278800964,True,23,True
27,2263.2661521434784,prey,100.2902479171753,False,26,False
29,2273.3130881786346,prey,236.7208890914917,True,10,False
28,2291.3672091960907,pred,94.28925800323486,False,10,False
6,2321.446204185486,prey,501.51996397972107,False,27,False
20,2321.446204185486,pred,240.72794198989868,False,22,True
18,2343.5388531684875,prey,114.358971118927,True,10,False
11,2349.5508291721344,prey,88.28782415390015,True,13,False
15,2349.5508291721344,pred,379.15435004234314,True,0,False
0,2379.6759622097015,pred,389.23141598701477,False,15,False
21,2411.7953000068665,pred,180.60325694084167,True,13,False
8,2421.815911054611,prey,1113.5562179088593,True,6,False
5,2431.84881401062,prey,1087.468924999237,False,6,False
7,2433.850579023361,prey,180.6208188533783,True,10,False
26,2439.8627541065216,pred,226.73330998420715,False,20,True
29,2469.9561381340027,pred,196.6349549293518,False,10,False
1,2473.9779591560364,prey,238.78901195526123,True,7,True
27,2500.0763630867004,pred,236.802020072937,False,26,False
8,2532.164924144745,pred,110.34046006202698,True,6,False
21,2564.271844148636,prey,152.47114610671997,True,11,False
9,2564.271844148636,prey,447.44840693473816,True,18,False
13,2564.271844148636,pred,435.4114110469818,False,16,False
12,2584.333321094513,prey,999.2153859138489,False,11,False
6,2594.3703989982605,pred,272.91572999954224,False,27,False
16,2608.4182291030884,prey,196.62292909622192,False,11,False
10,2624.4634561538696,pred,553.7750120162964,False,4,False
7,2656.5863749980927,pred,222.7277228832245,True,10,False
1,2690.71271109581,pred,216.726567029953,True,7,False
17,2690.71271109581,prey,0.0,True,16,False
8,2708.762271165848,prey,114.39187216758728,True,5,True
22,2714.773138999939,prey,335.0971767902374,True,5,True
18,2720.836893081665,pred,377.28893208503723,False,10,False
9,2752.9258151054382,pred,188.63662195205688,True,18,True
17,2787.050817012787,pred,96.32649779319763,False,16,False
29,2787.050817012787,prey,0.0,False,10,False
2,2789.058836221695,prey,485.6782991886139,True,21,False
24,2799.0840950012207,prey,1107.5714168548584,True,21,False
12,2817.1692070961,pred,232.82756090164185,False,11,False
3,2823.1823592185974,prey,742.4725232124329,True,11,False
16,2847.2646181583405,pred,238.83796310424805,False,11,False
8,2879.4170491695404,pred,170.6467890739441,True,5,True
5,2913.5273950099945,pred,481.67033791542053,True,6,False
8,2913.5273950099945,prey,0.0,False,5,False
22,2947.6440031528473,pred,232.86267113685608,False,5,False
13,2947.6440031528473,prey,0.0,False,16,False
2,2981.758926153183,pred,192.69174695014954,False,21,False
5,2981.758926153183,prey,0.0,False,6,False
28,2997.8154900074005,prey,114.38663578033447,True,13,False
18,3009.8537402153015,prey,116.39790320396423,True,29,True
24,3011.8632740974426,pred,212.77079892158508,False,21,False
26,3023.922425031662,prey,429.5520260334015,False,21,False
11,3041.992735147476,pred,692.433375120163,False,13,False
3,3074.0885140895844,pred,250.89765000343323,False,11,False
5,3108.1964180469513,pred,126.42470598220825,False,6,False
17,3108.1964180469513,prey,100.34277486801147,True,16,False
18,3142.3271770477295,pred,132.46493101119995,False,29,True
10,3142.3271770477295,prey,421.49028396606445,False,4,False
7,3146.3527641296387,prey,146.52937507629395,False,29,True
14,3162.4010820388794,prey,1125.8088829517365,False,10,False
9,3164.40224814415,prey,218.759526014328,True,10,False
26,3170.4251160621643,pred,146.49424386024475,True,21,False
19,3184.4561491012573,prey,1147.8585240840912,True,9,True
29,3198.4991331100464,pred,411.43678402900696,True,10,False
1,3206.5285789966583,prey,136.44279599189758,True,17,True
7,3226.6135811805725,pred,80.25237011909485,True,29,True
28,3256.716693162918,pred,258.8929431438446,True,13,False
22,3260.7263481616974,prey,184.63185501098633,False,21,False
19,3286.787425994873,pred,102.32275295257568,False,9,True
25,3288.7953522205353,prey,230.7453100681305,True,13,False
20,3292.7997391223907,prey,913.1237769126892,True,10,False
0,3296.8072991371155,prey,881.0060911178589,False,10,False
4,3302.8186831474304,prey,917.1226761341095,False,21,False
15,3304.82843708992,prey,889.0272290706635,False,10,False
8,3308.844598054886,pred,395.30534386634827,False,5,False
14,3332.9313490390778,pred,170.52171802520752,False,10,False
9,3358.9965620040894,pred,194.58645582199097,True,10,False
7,3383.0895190238953,prey,144.43927693367004,False,17,True
25,3385.1007590293884,pred,96.29718399047852,False,13,False
23,3397.129263162613,prey,1783.9097509384155,True,21,False
20,3411.163640022278,pred,118.3555018901825,True,10,False
18,3419.206999063492,prey,192.5934178829193,False,7,False
0,3437.249967098236,pred,140.43422389030457,False,10,False
24,3445.268487215042,prey,413.317134141922,True,17,True
1,3463.341427087784,pred,256.80465388298035,False,17,True
3,3477.381194114685,prey,403.28724694252014,True,10,False
13,3489.4233391284943,pred,541.767550945282,False,16,False
26,3503.4610431194305,prey,333.03036999702454,False,22,False
4,3515.492956161499,pred,212.66643905639648,True,21,False
8,3525.5310640335083,prey,112.35921692848206,False,22,False
25,3531.5556421279907,prey,86.28715491294861,False,17,True
15,3539.59028506279,pred,234.75329995155334,False,10,False
14,3555.6462512016296,prey,134.43758416175842,False,24,False
