id,position,angle,predprey,tag
Albania,28748,AL,ALB,1
Algeria,2381741,DZ,DZA,1
American Samoa,199,AS,ASM,1
Andorra,468,AD,AND,1
Angola,1246700,AO,AGO,1
0,[-4.03764565  1.7743992   0.03038038],-0.7854062031595537,prey,-1
1,[-14.1541657    4.73600393   0.03037645],-0.7853813409468215,prey,0
2,[-10.20456495   6.98293538   0.03035659],-0.785357315966297,prey,0
3,[  0.20893874 -10.40562475   0.03036197],-0.785341512058757,prey,0
4,[3.22525006 6.12521145 0.03037024],-0.785427189728082,prey,1
5,[8.10829579 3.59625339 0.0303625 ],-0.785360047214227,prey,-1
6,[ 9.79529241 11.99702616  0.030381  ],-0.7853312823814562,prey,-1
7,[13.57009397  2.7425608   0.03036208],-0.7853296076772445,prey,0
8,[ 6.07302922 11.73552509  0.03037248],-0.7852756510110708,prey,1
9,[ -8.14149552 -12.5668384    0.03038784],-0.7853693523252274,prey,0
10,[13.49922687 -7.978182    0.03038325],-0.7853951514096202,prey,-1
11,[-10.53574626   5.02505101   0.03036635],-0.785434797129041,prey,0
12,[-6.08139557 -0.69895087  0.03035865],-0.7853794763463098,prey,1
13,[12.60428478 -5.86440862  0.03035972],-0.7853572631440624,prey,1
14,[-3.19198521 -3.20894611  0.03038122],-0.7853735618124107,prey,-1
15,[ 8.66492444 -6.10906329  0.03035994],-0.7853464979139293,prey,1
16,[7.95860016 7.32302732 0.03035854],-0.7853579915609954,prey,0
17,[6.00916377 0.24069761 0.0303919 ],-0.78532122209961,pred,1
18,[-3.22416771  5.76801121  0.03039384],-0.7853682850396453,prey,-1
19,[ 2.63771239 -4.61793969  0.03036152],-0.7854119213963342,prey,1
20,[ 7.32353998 -4.09338327  0.0303637 ],-0.7854084016981435,prey,-1
21,[ 1.19682745 -2.50257216  0.03039022],-0.7853893545998356,pred,1
22,[ 5.23232085 -2.28242681  0.03038667],-0.7853993989381198,pred,-1
23,[-13.87827993   3.02168103   0.03036051],-0.7853515155011506,pred,1
24,[-0.60837482 -5.15227429  0.03038499],-0.7854048859219658,pred,-1
25,[-0.59211669  0.4483121   0.03036318],-0.7853470039999171,pred,-1
26,[ 7.6573547  -2.29933459  0.0303624 ],-0.7854080894543367,pred,-1
27,[-6.49551458  9.11519358  0.0303695 ],-0.7854511452557684,pred,-1
28,[  9.37345881 -14.23349304   0.03037418],-0.7853494381224779,pred,1
29,[-5.02400053 -6.86782614  0.03038787],-0.7854577757341015,pred,-1
30,[1.36676899 6.01194195 0.03038455],-0.7853734778508294,pred,0
31,[-2.50679399 11.51127597  0.03037285],-0.7852609211957273,pred,-1
32,[-12.87605606   5.64984026   0.03039301],-0.785368365222499,pred,1
33,[ 13.04307562 -10.94802121   0.03037002],-0.7853007319225185,pred,0
