id,simTime,position,angle,predprey,tag,otherID
0,2.011168956756592,[-7.16329979  1.48267015  0.08516604],-0.6206048018878318,prey,-1,24
1,2.011168956756592,[-6.62472604 -5.4360545   0.07931797],-0.6343642301564536,prey,-1,25
2,2.011168956756592,[-6.97707521  4.0771519   0.08674282],-0.6408330405821285,prey,-1,24
3,2.011168956756592,[-4.91489134 -8.05527211  0.08679607],-0.6415925107511331,prey,-1,29
4,2.011168956756592,[-5.5018715  -1.44921311  0.08674519],-0.6415771862812809,prey,1,25
5,2.011168956756592,[2.55693427 7.23705991 0.0870759 ],-0.6416883683576624,prey,1,30
6,2.011168956756592,[-5.21066808  8.72490283  0.08647658],-0.6407980610780446,prey,-1,38
7,2.011168956756592,[8.17096114 6.71363618 0.08703329],-0.6415336331956976,prey,-1,31
8,2.011168956756592,[-5.54734083 -7.22950522  0.08646718],-0.6409226354572048,prey,1,29
9,2.011168956756592,[ 8.38745573 -1.60642948  0.0862397 ],-0.6407000697810843,prey,1,36
10,2.011168956756592,[-6.47810903  7.41900129  0.08195334],-0.8401144978584201,prey,-1,38
11,2.011168956756592,[-6.49995448  6.9655237   0.07960181],-0.8946159299846008,prey,1,24
12,2.011168956756592,[ 4.71384052 -7.8024301   0.08704596],-0.6418163020202567,prey,1,23
13,2.011168956756592,[8.54967587 7.98558857 0.08657287],-0.6408086610859622,prey,-1,31
14,2.011168956756592,[6.82182392 6.85059397 0.09503442],-0.7730739006296101,prey,-1,31
15,2.011168956756592,[-1.77607316  0.29288798  0.08637488],-0.6403664471640296,prey,-1,35
16,2.011168956756592,[ 4.1540303  -4.77614516  0.08694987],-0.6419539119668478,prey,1,36
17,2.011168956756592,[-4.35574412 -1.71842893  0.09349534],-0.9031504337788716,prey,1,25
18,2.011168956756592,[7.5413337  5.33004922 0.08665596],-0.6412135385267823,prey,-1,31
19,2.011168956756592,[-4.30565843 -1.35604856  0.08591639],-0.9829232614770431,prey,-1,25
20,2.011168956756592,[ 0.76997477 -5.6157373   0.08653089],-0.6406031310672322,prey,-1,29
21,2.011168956756592,[3.05448157 6.19621193 0.09151375],-0.6041356944848544,pred,1,30
22,2.011168956756592,[6.4177823  2.74445335 0.08639047],-0.6402646200109672,pred,-1,33
23,2.011168956756592,[ 3.70710919 -7.05460858  0.08608281],-0.6401095594849484,pred,1,34
24,2.011168956756592,[-7.99145156  1.69692803  0.08707547],-0.641795311210362,pred,-1,25
25,2.011168956756592,[-6.25420908 -0.69587339  0.08713404],-0.6420888839361147,pred,1,24
26,2.011168956756592,[0.74742226 1.9811503  0.08690252],-0.6412870612894173,pred,-1,35
27,2.011168956756592,[ 6.55769026 -8.61892107  0.08087782],-0.5880811356120841,pred,-1,34
28,2.011168956756592,[8.99465987 3.41553565 0.08608   ],-0.6542657135548353,pred,1,22
29,2.011168956756592,[-0.82992098 -6.85102944  0.08757788],-0.6050340412392634,pred,1,23
30,2.011168956756592,[2.96283185 6.18286676 0.1179357 ],-0.5148443673801015,pred,-1,21
31,2.011168956756592,[7.81993247 6.07937609 0.08645359],-0.6408692005532046,pred,1,28
32,2.011168956756592,[1.59613683 5.60932679 0.08706518],-0.6420586499874119,pred,1,30
33,2.011168956756592,[5.16145859 4.25726297 0.08710455],-0.6418656427275762,pred,1,22
34,2.011168956756592,[ 5.06146997 -6.23302308  0.08711057],-0.6417764345414039,pred,-1,23
35,2.011168956756592,[0.10086476 0.11779976 0.08707788],-0.6417895010374952,pred,1,26
36,2.011168956756592,[ 5.21901217 -3.88024013  0.0870897 ],-0.6417574919127365,pred,-1,34
37,2.011168956756592,[2.71886277 3.72564296 0.08637542],-0.6408673799559921,pred,-1,32
38,2.011168956756592,[-1.44140577  4.45672911  0.08090462],-0.5890319998920637,pred,-1,39
39,2.011168956756592,[-1.25805782  2.41648072  0.0768225 ],-0.7732361614690628,pred,-1,38
0,4.012915849685669,[-7.26600941  1.42888154  0.07695179],-0.7942077502497695,prey,-1,24
1,4.012915849685669,[-6.72089908 -5.49862655  0.07592776],-0.864290589579829,prey,-1,25
2,4.012915849685669,[-7.05985799  4.02315807  0.07647318],-0.8155332696481334,prey,-1,24
3,4.012915849685669,[-5.00627659 -8.11474023  0.07736695],-0.8422117262580375,prey,-1,29
4,4.012915849685669,[-5.59031625 -1.50879178  0.07657373],-0.8531668718420033,prey,-1,25
5,4.012915849685669,[2.46819138 7.18069677 0.07641596],-0.8117494233994278,prey,1,30
6,4.012915849685669,[-5.29888785  8.66401144  0.07652828],-0.8587910937727155,prey,1,38
7,4.012915849685669,[8.08441928 6.66022654 0.07550254],-0.8463978218381394,prey,-1,31
8,4.012915849685669,[-5.63642108 -7.29146063  0.07739571],-0.8545216382990763,prey,1,29
9,4.012915849685669,[ 8.29837688 -1.66856258  0.07739623],-0.8547362248507122,prey,1,36
10,4.012915849685669,[-6.56571728  7.34054425  0.07564928],-1.0480575737405498,prey,-1,38
11,4.012915849685669,[-6.59360164  6.87568231  0.07581263],-1.1074723395554278,prey,1,24
12,4.012915849685669,[ 4.62558581 -7.86334542  0.07693778],-0.8346277998743838,prey,1,23
13,4.012915849685669,[8.45857494 7.92441304 0.07577074],-0.8413897132261989,prey,-1,31
14,4.012915849685669,[6.7256767  6.74863969 0.0757855 ],-0.8776475426998993,prey,-1,31
15,4.012915849685669,[-1.86392282  0.23059699  0.07739779],-0.856250790706591,prey,-1,35
16,4.012915849685669,[ 4.06894564 -4.83497042  0.07610907],-0.8480026631165893,prey,-1,36
17,4.012915849685669,[-4.43375234 -1.81695561  0.07670836],-1.1392867773531234,prey,1,25
18,4.012915849685669,[7.45615161 5.27233144 0.07633849],-0.8603720642317394,prey,-1,31
19,4.012915849685669,[-4.37651672 -1.44743843  0.07439764],-1.1981225721500177,prey,-1,25
20,4.012915849685669,[ 0.67955246 -5.67923551  0.07527316],-0.8230656439213377,prey,-1,29
21,4.012915849685669,[3.01612216 6.17473816 0.06484826],-0.604215060117701,pred,1,30
22,4.012915849685669,[6.32938566 2.68219532 0.07722367],-0.8280459092398953,pred,-1,33
23,4.012915849685669,[ 3.61576384 -7.11497027  0.07639001],-0.854292740712248,pred,1,34
24,4.012915849685669,[-8.07575997  1.63733136  0.07717417],-0.856780020209793,pred,-1,25
25,4.012915849685669,[-6.33577412 -0.75297021  0.07547922],-0.8297389182473096,pred,1,24
26,4.012915849685669,[0.65859282 1.92216656 0.07723466],-0.8397661697645225,pred,-1,35
27,4.012915849685669,[ 6.45784848 -8.67887658  0.07607687],-0.7916688224557134,pred,1,34
28,4.012915849685669,[8.88251434 3.36194663 0.07446164],-0.8161964035412188,pred,1,22
29,4.012915849685669,[-0.9163142  -6.9014764   0.07529589],-0.7691084944842572,pred,1,23
30,4.012915849685669,[2.91412645 6.13354746 0.11643527],-0.6212360447490073,pred,-1,21
31,4.012915849685669,[7.72897951 6.0156361  0.07527538],-0.8279173805499562,pred,1,28
32,4.012915849685669,[1.48807419 5.54785463 0.07773031],-0.8331378003572913,pred,1,30
33,4.012915849685669,[5.07269858 4.20096742 0.07641568],-0.81195022020712,pred,1,22
