id,simTime,position,angle,predprey,tag,otherID,immCheck,RanW
0,2.0076849460601807,[-6.43346154  5.31768296  0.06930181],-1.092412191258148,prey,-1,24,False,True
1,2.0076849460601807,[4.14702891 2.4991894  0.07101657],-0.6084994523568938,prey,-1,31,False,True
2,2.0076849460601807,[-2.69767414 -2.87613255  0.06961695],-1.0980276118818373,prey,1,35,False,True
3,2.0076849460601807,[-1.10785592 -3.55266917  0.06929916],-1.0921653400781404,prey,-1,32,False,True
4,2.0076849460601807,[ 3.37285977 -2.70498903  0.06891685],-1.0883193433122198,prey,-1,32,True,True
5,2.0076849460601807,[ 5.09195524 -6.28276246  0.06929633],-1.0915919189109489,prey,1,21,False,True
6,2.0076849460601807,[4.87951031 2.04356501 0.07212977],-0.5047203618227649,prey,1,31,False,True
7,2.0076849460601807,[-3.47678917 -7.51395475  0.06931401],-1.0919781575946894,prey,-1,37,False,True
8,2.0076849460601807,[-2.68055429 -1.56681061  0.07032216],-0.8837941863351046,prey,-1,35,False,True
9,2.0076849460601807,[ 0.41423346 -6.41951856  0.06931644],-1.091262547571688,prey,-1,32,False,True
10,2.0076849460601807,[0.69071431 6.00307435 0.06743977],-1.1302330470290007,prey,-1,39,False,True
11,2.0076849460601807,[-5.11977102 -7.94787237  0.06858586],-0.7078416902241464,prey,1,37,False,True
12,2.0076849460601807,[ 6.48672411 -5.08414512  0.07137139],-1.1198664421768156,prey,1,21,False,True
13,2.0076849460601807,[-8.70747422 -0.44352211  0.06930396],-1.0919941496977028,prey,-1,38,True,True
14,2.0076849460601807,[ 6.66208357 -7.87639791  0.07049692],-1.1437747698686833,prey,1,23,False,True
15,2.0076849460601807,[7.33081464 0.64453572 0.06930188],-1.092081793969332,prey,1,36,False,True
16,2.0076849460601807,[2.16920759 2.51088931 0.06933012],-1.0913139812196198,prey,-1,34,False,True
17,2.0076849460601807,[-0.94113066  4.19743676  0.06904134],-1.0599825783072454,prey,-1,34,False,True
18,2.0076849460601807,[-4.99323347  1.06795453  0.06944942],-1.092089103895574,prey,1,29,False,True
19,2.0076849460601807,[-2.0349015   0.83975447  0.06590972],-1.1656164698969615,prey,-1,29,True,True
20,2.0076849460601807,[-1.24117239 -7.62251847  0.07135032],-1.0132924070518206,prey,1,28,False,True
21,2.0076849460601807,[ 5.59717422 -5.86720923  0.06926762],-1.091397388022778,pred,1,0,True,True
22,2.0076849460601807,[-6.71631762 -4.3423095   0.06347332],-0.8896878897163982,pred,1,0,True,True
23,2.0076849460601807,[ 8.58672258 -6.89901506  0.0654366 ],-0.9242707604668343,pred,1,0,True,True
24,2.0076849460601807,[-8.85531925  5.85934735  0.06931043],-1.0921196805246516,pred,1,0,True,True
25,2.0076849460601807,[6.13336341 8.73322681 0.06944826],-1.0916578299541282,pred,1,0,True,True
26,2.0076849460601807,[ 1.69627457 -8.33006762  0.06930324],-1.0922524439727535,pred,1,0,True,True
27,2.0076849460601807,[7.4587669  7.2271517  0.06840294],-0.4441560118511334,pred,1,0,True,True
28,2.0076849460601807,[-1.82785525 -6.13250533  0.06929704],-1.0908975468661906,pred,1,0,True,True
29,2.0076849460601807,[-4.37388233  2.08130949  0.06928723],-1.0906294651745032,pred,1,0,True,True
30,2.0076849460601807,[-5.85015532  2.41013745  0.06909015],-1.0870495542637069,pred,1,0,True,True
31,2.0076849460601807,[4.94884659 3.24352196 0.06930593],-1.0915011617264323,pred,1,0,True,True
32,2.0076849460601807,[ 0.00833201 -4.23909662  0.0689233 ],-1.0891999287343221,pred,1,0,True,True
