id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.079561948776245,pred,22.259033918380737,True,1,True
17,46.1625759601593,pred,46.33008408546448,True,1,True
10,70.24233794212341,prey,70.49655389785767,True,27,True
18,70.24233794212341,pred,70.39744687080383,True,1,True
19,96.32705903053284,pred,96.469966173172,True,1,True
20,124.40181088447571,pred,124.53243780136108,True,1,True
17,134.42901396751404,prey,60.17346906661987,False,28,True
21,152.5113730430603,pred,152.6295051574707,True,1,True
14,174.56337904930115,prey,100.30783414840698,True,26,True
22,180.5743260383606,pred,180.67976713180542,True,1,True
23,210.69905996322632,pred,210.79192399978638,True,1,True
18,228.751473903656,prey,106.35136485099792,False,28,True
24,240.78351497650146,pred,240.8639531135559,True,1,True
7,242.78980588912964,prey,88.27714681625366,True,28,True
25,270.86499404907227,pred,270.93345499038696,True,1,True
23,272.86616802215576,prey,62.161285161972046,False,17,False
12,292.9194989204407,prey,82.22043895721436,True,27,True
29,298.93432688713074,pred,298.9554738998413,True,1,True
22,310.9828598499298,prey,100.28379988670349,False,17,False
16,319.0157449245453,prey,248.77340698242188,True,7,True
10,325.03948497772217,pred,254.78895711898804,False,27,True
20,327.0421688556671,prey,116.3431088924408,False,27,True
26,351.1027510166168,pred,351.15943598747253,True,1,True
19,379.1860308647156,prey,168.48697090148926,True,27,True
14,379.1860308647156,pred,204.614403963089,True,26,False
24,403.2678029537201,prey,162.47845888137817,False,28,True
9,405.2778389453888,prey,164.49432396888733,True,28,True
18,405.2778389453888,pred,176.51774501800537,False,28,True
6,425.33781599998474,prey,214.63875603675842,True,16,True
23,429.34595489501953,pred,156.4709370136261,False,17,False
12,455.4335958957672,pred,162.5059049129486,True,27,True
1,471.49284386634827,prey,172.55851697921753,True,19,False
17,481.5245199203491,pred,347.0873849391937,False,28,True
22,509.61091804504395,pred,198.61953401565552,False,17,True
7,539.690043926239,pred,296.89186787605286,True,28,True
20,571.8043310642242,pred,244.7538070678711,False,27,True
25,579.840637922287,prey,308.96995306015015,True,27,True
24,603.8901269435883,pred,200.61427688598633,True,28,True
3,609.9229969978333,prey,230.73696613311768,True,16,True
28,636.0195469856262,pred,636.0525109767914,True,1,True
5,646.0675599575043,prey,415.30703997612,True,3,True
9,668.1141340732574,pred,262.8282902240753,True,28,False
6,702.2338118553162,pred,276.8871099948883,False,16,True
20,702.2338118553162,prey,0.0,False,27,True
19,736.3592360019684,pred,357.16519498825073,False,27,True
8,736.3592360019684,prey,0.0,True,1,True
9,764.4645140171051,prey,96.34472703933716,True,25,False
1,768.4778709411621,pred,296.9758679866791,True,19,False
27,802.6061768531799,pred,802.6510078907013,True,1,False
4,802.6061768531799,prey,451.5034258365631,True,1,False
16,836.7178409099579,pred,517.6937379837036,True,7,False
12,836.7178409099579,prey,381.2784478664398,True,27,False
26,854.8106398582458,prey,503.70198488235474,False,20,False
3,868.8581418991089,pred,258.92706298828125,True,16,False
5,902.9745569229126,pred,256.89838695526123,False,3,False
15,902.9745569229126,prey,794.6152739524841,True,1,False
13,904.9794590473175,prey,634.1144649982452,True,15,False
21,906.9910440444946,prey,696.2919840812683,False,15,False
14,906.9910440444946,prey,527.7900111675262,False,21,False
8,931.063628911972,pred,194.69227385520935,False,1,False
25,961.1578340530396,pred,381.30764508247375,False,27,False
9,993.2829349040985,pred,228.8101189136505,False,25,False
27,1025.401622056961,prey,160.56163597106934,False,20,False
4,1025.401622056961,pred,222.7832419872284,False,1,False
22,1027.4050250053406,prey,367.31770396232605,False,12,False
17,1029.4162669181824,prey,371.33227705955505,True,22,False
26,1055.4979438781738,pred,200.67918395996094,True,20,False
13,1087.6004309654236,pred,182.6122009754181,False,15,False
15,1121.7140278816223,pred,218.72739481925964,False,1,False
26,1121.7140278816223,prey,66.21027994155884,False,20,False
5,1123.7184720039368,prey,68.22052812576294,True,26,True
3,1125.7268109321594,prey,70.2288670539856,False,26,True
18,1125.7268109321594,prey,70.2288670539856,True,3,False
9,1127.7406120300293,prey,72.24266815185547,False,26,True
23,1127.7406120300293,prey,325.13443517684937,False,20,False
29,1137.7686920166016,prey,838.8285479545593,False,23,False
7,1143.7879009246826,prey,88.28995704650879,False,3,False
21,1143.7879009246826,pred,236.7886459827423,False,15,False
4,1161.8495118618011,prey,136.43327379226685,True,27,False
14,1163.8580470085144,pred,256.849858045578,True,21,False
12,1185.935065984726,pred,349.2049479484558,False,27,False
22,1210.016620874405,pred,182.60307693481445,False,12,True
19,1220.0565700531006,prey,483.6916661262512,False,17,False
5,1234.1175298690796,pred,110.39011788368225,False,26,True
14,1256.1883368492126,prey,92.32460880279541,True,4,False
18,1258.193853855133,pred,132.4498438835144,True,3,False
26,1284.2810499668121,pred,162.55501198768616,True,20,False
6,1290.2987399101257,prey,457.5885589122772,False,27,False
25,1302.3233890533447,prey,246.8254451751709,False,4,False
9,1308.3363199234009,pred,180.587553024292,True,26,False
20,1334.4383249282837,pred,632.1921899318695,False,27,False
23,1362.5188670158386,pred,234.76114416122437,False,20,True
29,1392.6268079280853,pred,254.8498568534851,False,23,False
11,1396.6491508483887,prey,883.0255858898163,True,17,False
13,1398.6517210006714,prey,164.5341911315918,True,11,False
3,1420.756805896759,pred,295.02163100242615,False,26,False
15,1424.768956899643,prey,206.7227258682251,False,11,False
24,1426.7778429985046,prey,495.7142140865326,True,15,True
16,1426.7778429985046,prey,590.0542449951172,False,24,True
0,1426.7778429985046,prey,1298.368933916092,True,16,False
8,1442.8396289348602,prey,511.77032995224,True,19,False
10,1442.8396289348602,prey,511.7760000228882,False,8,True
